source,target,type
7822,1913,directed
1913,4269,directed
4891,5742,directed
5742,1651,directed
1651,7822,directed
9105,8739,directed
8739,4526,directed
8328,826,directed
826,3909,directed
3909,4994,directed
4994,4269,directed
7591,3827,directed
3621,1257,directed
1257,5988,directed
5988,5742,directed
9163,6514,directed
1157,3056,directed
3056,6382,directed
12,8727,directed
8727,6895,directed
7896,2799,directed
2799,6416,directed
6416,3057,directed
3057,7991,directed
488,6639,directed
6639,1988,directed
3206,2418,directed
2418,4531,directed
5549,3190,directed
5582,8173,directed
3593,6752,directed
7608,8658,directed
8658,754,directed
2856,1825,directed
104,6579,directed
7991,5195,directed
5195,1649,directed
1649,4217,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
5189,3206,directed
3206,5535,directed
5535,2897,directed
5651,7498,directed
7498,8242,directed
8242,1829,directed
2856,5887,directed
2216,4597,directed
5651,4269,directed
4974,8513,directed
3458,3606,directed
1248,787,directed
787,2901,directed
2901,5674,directed
5674,3056,directed
3056,4434,directed
7455,9062,directed
4335,6894,directed
6894,3056,directed
3056,1312,directed
7369,3473,directed
3473,447,directed
447,2432,directed
5352,837,directed
837,4362,directed
7033,7870,directed
7135,5651,directed
5651,4269,directed
9170,9546,directed
9546,5840,directed
7608,5056,directed
1529,4695,directed
4695,7773,directed
7773,2541,directed
5622,9212,directed
6272,2415,directed
2415,6159,directed
8011,4681,directed
4681,2746,directed
2746,6532,directed
8621,5813,directed
2799,7942,directed
7942,3056,directed
3056,115,directed
115,7329,directed
2541,1168,directed
1168,998,directed
8328,7991,directed
8328,7890,directed
7890,4883,directed
4883,8172,directed
8172,6774,directed
6774,7964,directed
7964,2897,directed
2897,4526,directed
7822,4104,directed
2467,3056,directed
3056,1972,directed
7135,421,directed
5121,8400,directed
8400,4995,directed
4995,5113,directed
7789,9262,directed
9262,5245,directed
5245,115,directed
880,850,directed
378,2201,directed
2201,2122,directed
2251,3350,directed
554,2593,directed
2593,617,directed
617,9070,directed
8392,3823,directed
3823,3056,directed
3056,8429,directed
4051,2044,directed
2044,9198,directed
9198,8429,directed
6079,398,directed
8328,5000,directed
5000,7854,directed
7854,2901,directed
2901,2369,directed
9549,3323,directed
3323,6079,directed
6704,8387,directed
8328,7890,directed
7890,6550,directed
6550,6048,directed
6048,2022,directed
8713,7033,directed
7591,3827,directed
9322,6092,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
289,2063,directed
8328,6786,directed
6786,1332,directed
1332,4163,directed
7624,4439,directed
584,9252,directed
8335,9319,directed
9319,4269,directed
5746,5000,directed
5000,4789,directed
4789,5746,directed
6507,6711,directed
6711,2901,directed
2901,5222,directed
656,8248,directed
8248,2897,directed
2897,6613,directed
4894,2369,directed
3621,5742,directed
5742,7480,directed
8654,4995,directed
4995,5113,directed
5113,3985,directed
3988,681,directed
8328,5000,directed
5000,5582,directed
5582,9488,directed
5742,4845,directed
5000,9144,directed
9144,4269,directed
4269,1651,directed
1651,3061,directed
3061,7822,directed
7822,1436,directed
2856,7254,directed
7254,4269,directed
4369,9097,directed
4979,7679,directed
7679,1830,directed
1830,4526,directed
3483,5942,directed
5942,9198,directed
9198,8429,directed
7608,5056,directed
136,4973,directed
2216,224,directed
224,4995,directed
4995,1252,directed
7991,837,directed
4576,7507,directed
7507,7187,directed
8711,3621,directed
3621,7627,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
717,3854,directed
3854,5651,directed
8258,3499,directed
2856,3128,directed
